review,sentiment
A cinematic gem worth watching again.,1
It exceeded all my expectations.,1
The plot made no sense.,0
It exceeded all my expectations.,1
It was a total flop.,0
Uninspired and poorly executed.,0
A complete waste of time.,0
Awful direction and bad pacing.,0
The acting was phenomenal.,1
Awful direction and bad pacing.,0
Poorly written and predictable.,0
A cinematic gem worth watching again.,1
A masterpiece of modern cinema.,1
The acting was phenomenal.,1
Heartwarming and beautifully made.,1
The plot made no sense.,0
I regret spending time on this.,0
Disappointing and boring.,0
I regret spending time on this.,0
The acting was phenomenal.,1
Awful direction and bad pacing.,0
A cinematic gem worth watching again.,1
Poorly written and predictable.,0
It was a total flop.,0
It exceeded all my expectations.,1
A cinematic gem worth watching again.,1
Heartwarming and beautifully made.,1
Heartwarming and beautifully made.,1
Terrible story and acting.,0
I absolutely loved this movie!,1
The plot made no sense.,0
I absolutely loved this movie!,1
Terrible story and acting.,0
A cinematic gem worth watching again.,1
Fantastic direction and storytelling.,1
I absolutely loved this movie!,1
I regret spending time on this.,0
Disappointing and boring.,0
Heartwarming and beautifully made.,1
It was a total flop.,0
It was a total flop.,0
The plot made no sense.,0
I absolutely loved this movie!,1
Not worth watching at all.,0
The acting was phenomenal.,1
Simply perfect in every way.,1
I regret spending time on this.,0
I regret spending time on this.,0
Heartwarming and beautifully made.,1
Disappointing and boring.,0
Awful direction and bad pacing.,0
I absolutely loved this movie!,1
Poorly written and predictable.,0
It exceeded all my expectations.,1
Disappointing and boring.,0
Terrible story and acting.,0
Terrible story and acting.,0
The acting was phenomenal.,1
It exceeded all my expectations.,1
The acting was phenomenal.,1
The plot made no sense.,0
The acting was phenomenal.,1
Heartwarming and beautifully made.,1
The acting was phenomenal.,1
Breathtaking visuals and music.,1
A brilliant mix of humor and drama.,1
Fantastic direction and storytelling.,1
Awful direction and bad pacing.,0
It exceeded all my expectations.,1
Awful direction and bad pacing.,0
Awful direction and bad pacing.,0
It was a total flop.,0
Breathtaking visuals and music.,1
It was a total flop.,0
Uninspired and poorly executed.,0
The plot made no sense.,0
Poorly written and predictable.,0
Poorly written and predictable.,0
Simply perfect in every way.,1
Disappointing and boring.,0
Disappointing and boring.,0
A cinematic gem worth watching again.,1
The plot made no sense.,0
Awful direction and bad pacing.,0
Simply perfect in every way.,1
A masterpiece of modern cinema.,1
I absolutely loved this movie!,1
I regret spending time on this.,0
Heartwarming and beautifully made.,1
Terrible story and acting.,0
A brilliant mix of humor and drama.,1
It exceeded all my expectations.,1
Not worth watching at all.,0
Awful direction and bad pacing.,0
Uninspired and poorly executed.,0
I absolutely loved this movie!,1
Terrible story and acting.,0
A brilliant mix of humor and drama.,1
The acting was phenomenal.,1
The plot made no sense.,0
A cinematic gem worth watching again.,1
Not worth watching at all.,0
I absolutely loved this movie!,1
I absolutely loved this movie!,1
Fantastic direction and storytelling.,1
I regret spending time on this.,0
Terrible story and acting.,0
